run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name
1,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Ammerland
2,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Ammerland
3,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Ammerland
4,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Ammerland
5,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Ammerland
6,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Ammerland
7,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Ammerland
8,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Ammerland
9,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Ammerland
10,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Ammerland
11,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Ammerland
12,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Ammerland
13,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Emsland
14,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Emsland
15,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Emsland
16,True,fixed,auto,SM_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Emsland
17,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Emsland
18,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Emsland
19,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Emsland
20,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Emsland
21,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Emsland
22,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Emsland
23,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Emsland
24,True,fixed,auto,PO_sfix_hauto,sim.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,False,False,False,False,,,0.71,148_300_300_280_800_25,historic_runs,Emsland
